series_id,model_id,asset_code,asset_subtype,asset_type,benchmark,benchmark_code,category_code,country,country_code,dm_em,description,frequency,geography,investor_category,investor_origin,investor_subtype,investor_type,key,lag,name,origin_code,region,sector,start_date,subtype_code,type_code,update_time
USFXFUTUDX1MIXINSCOMMIX,CFTC,FUTU,Futures,FX,dx1 curncy,DX1,INS,US,US,DM,Commercial investor positioning in Dollar Index futures,Weekly,AMER,Institutional,Mixed,Mixed,Commercial,AMER/NA/DM/US/FX/Futures/Mixed/Institutional/Commercial/Mixed/USFXFUTUDX1MIXINSCOMMIX.csv,7,Commercial inv. Dollar Index ,MIX,,,06/09/2006,MIX,COM,07:00:00
MXFXFUTUPE1MIXINSCOMMIX,CFTC,FUTU,Futures,FX,pe1 curncy,PE1,INS,Mexico,MX,EM,Commercial investor positioning in MXN futures,Weekly,AMER,Institutional,Mixed,Mixed,Commercial,AMER/LATAM/EM/Mexico/FX/Futures/Mixed/Institutional/Commercial/Mixed/MXFXFUTUPE1MIXINSCOMMIX.csv,7,Commercial inv. MXN ,MIX,LATAM,,06/09/2006,MIX,COM,07:00:00
USFIFUTUSERMIXINSCOMMIX,CFTC,FUTU,Futures,FI,ser3 comdty,SER,INS,US,US,DM,Commercial investor positioning in 1-month SOFR futures,Weekly,AMER,Institutional,Mixed,Mixed,Commercial,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Commercial/Mixed/USFIFUTUSERMIXINSCOMMIX.csv,7,Commercial inv. 1-month SOFR ,MIX,,,18/07/2018,MIX,COM,07:00:00
GLCOMFUTUSB1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,sb1 comdty,SB1,INS,Global,GL,DM,Non Commercial investor positioning in Sugar futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUSB1MIXINSSPEMIX.csv,7,Non-commercial inv. Sugar ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
USEQFUTUUX1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,ux1 index,UX1,INS,US,US,DM,Non Commercial investor positioning in VIX futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUUX1MIXINSSPEMIX.csv,7,Non-commercial inv. VIX ,MIX,,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUHG1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,hg1 comdty,HG1,INS,Global,GL,DM,Managed Money investor positioning in Copper futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUHG1MIXINSSPEMAN.csv,7,Managed Money Copper ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUSB1MIXINSCOMPRO,CFTC_DISAGG_COM,FUTU,Futures,COM,sb1 comdty,SB1,INS,Global,GL,DM,Producer investor positioning in Sugar futures,Weekly,GLOBAL,Institutional,Mixed,Producer,Commercial,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Commercial/Producer/GLCOMFUTUSB1MIXINSCOMPRO.csv,7,Producers Sugar ,MIX,Global,,06/09/2006,PRO,COM,07:00:00
GLCOMFUTUGC1MIXINSCOMSWA,CFTC_DISAGG_COM,FUTU,Futures,COM,gc1 comdty,GC1,INS,Global,GL,DM,Swap Dealer investor positioning in Gold futures,Weekly,GLOBAL,Institutional,Mixed,Swap dealer,Commercial,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Commercial/Swap dealer/GLCOMFUTUGC1MIXINSCOMSWA.csv,7,Swap Dealers Gold ,MIX,Global,,06/09/2006,SWA,COM,07:00:00
MXFXFUTUPE1MIXINSSPEASS,CFTC_DISAGG,FUTU,Futures,FX,pe1 curncy,PE1,INS,Mexico,MX,EM,Asset Manager investor positioning in MXN futures,Weekly,AMER,Institutional,Mixed,Asset manager,Speculative,AMER/LATAM/EM/Mexico/FX/Futures/Mixed/Institutional/Speculative/Asset manager/MXFXFUTUPE1MIXINSSPEASS.csv,7,Asset Manager MXN ,MIX,LATAM,,06/09/2006,ASS,SPE,07:00:00
USEQFUTURTYMIXINSSPELEV,CFTC_DISAGG,FUTU,Futures,EQ,rty1 index,RTY,INS,US,US,DM,Leveraged Funds investor positioning in Russell 2000 E-mini futures,Weekly,AMER,Institutional,Mixed,Leveraged fund,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Leveraged fund/USEQFUTURTYMIXINSSPELEV.csv,7,Leveraged Funds Russell 2000 E-mini ,MIX,,,17/08/2017,LEV,SPE,07:00:00
